No.,Track Name,Artist,Year Released,Album:,Spotify Link:,Youtube Link:
68-20,White Lines (Don't Do It),Grandmaster Flash & Melle Mel,1983,Now That’s What I Call Music! 103 - Disc 2,https://open.spotify.com/search/White%20Lines%20(Don't%20Do%20It)%20Grandmaster%20Flash%20&%20Melle%20Mel,https://www.youtube.com/results?search_query=White%20Lines%20(Don't%20Do%20It)%20Grandmaster%20Flash%20&%20Melle%20Mel%20music%20video
68-21,Locomotion,Orchestral Manoeuvres In The Dark,1984,Now That’s What I Call Music! 103 - Disc 2,https://open.spotify.com/search/Locomotion%20Orchestral%20Manoeuvres%20In%20The%20Dark,https://www.youtube.com/results?search_query=Locomotion%20Orchestral%20Manoeuvres%20In%20The%20Dark%20music%20video
68-22,It's Raining Men,The Weather Girls,1982,Now That’s What I Call Music! 103 - Disc 2,https://open.spotify.com/search/It's%20Raining%20Men%20The%20Weather%20Girls,https://www.youtube.com/results?search_query=It's%20Raining%20Men%20The%20Weather%20Girls%20music%20video
68-23,I Won't Let The Sun Go Down On Me,Nik Kershaw,1983,Now That’s What I Call Music! 103 - Disc 2,https://open.spotify.com/search/I%20Won't%20Let%20The%20Sun%20Go%20Down%20On%20Me%20Nik%20Kershaw,https://www.youtube.com/results?search_query=I%20Won't%20Let%20The%20Sun%20Go%20Down%20On%20Me%20Nik%20Kershaw%20music%20video
69-01,Waiting All Night,Rudimental feat. Ella Eyre,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Waiting%20All%20Night%20Rudimental%20feat.%20Ella%20Eyre,https://www.youtube.com/results?search_query=Waiting%20All%20Night%20Rudimental%20feat.%20Ella%20Eyre%20music%20video
69-02,Wild,Jessie J feat. Big Sean & Dizzee Rascal,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Wild%20Jessie%20J%20feat.%20Big%20Sean%20&%20Dizzee%20Rascal,https://www.youtube.com/results?search_query=Wild%20Jessie%20J%20feat.%20Big%20Sean%20&%20Dizzee%20Rascal%20music%20video
69-03,Need U (100%),Duke Dumont feat. A*M*E,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Need%20U%20(100%)%20Duke%20Dumont%20feat.%20A*M*E,https://www.youtube.com/results?search_query=Need%20U%20(100%)%20Duke%20Dumont%20feat.%20A*M*E%20music%20video
69-04,#That Power,Will.I.Am feat. Justin Bieber,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/#That%20Power%20Will.I.Am%20feat.%20Justin%20Bieber,https://www.youtube.com/results?search_query=#That%20Power%20Will.I.Am%20feat.%20Justin%20Bieber%20music%20video
69-05,Play Hard,David Guetta feat. Ne-Yo & Akon,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Play%20Hard%20David%20Guetta%20feat.%20Ne-Yo%20&%20Akon,https://www.youtube.com/results?search_query=Play%20Hard%20David%20Guetta%20feat.%20Ne-Yo%20&%20Akon%20music%20video
69-06,I Need Your Love,Calvin Harris feat. Ellie Goulding,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/I%20Need%20Your%20Love%20Calvin%20Harris%20feat.%20Ellie%20Goulding,https://www.youtube.com/results?search_query=I%20Need%20Your%20Love%20Calvin%20Harris%20feat.%20Ellie%20Goulding%20music%20video
69-07,Feel This Moment,Pitbull feat. Christina Aguilera,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Feel%20This%20Moment%20Pitbull%20feat.%20Christina%20Aguilera,https://www.youtube.com/results?search_query=Feel%20This%20Moment%20Pitbull%20feat.%20Christina%20Aguilera%20music%20video
69-08,Reload,Sebastian Ingrosso feat. Tommy Trash & John Martin,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Reload%20Sebastian%20Ingrosso%20feat.%20Tommy%20Trash%20&%20John%20Martin,https://www.youtube.com/results?search_query=Reload%20Sebastian%20Ingrosso%20feat.%20Tommy%20Trash%20&%20John%20Martin%20music%20video
69-09,This Is What It Feels Like,Armin Van Buuren feat. Trevor Guthrie,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/This%20Is%20What%20It%20Feels%20Like%20Armin%20Van%20Buuren%20feat.%20Trevor%20Guthrie,https://www.youtube.com/results?search_query=This%20Is%20What%20It%20Feels%20Like%20Armin%20Van%20Buuren%20feat.%20Trevor%20Guthrie%20music%20video
69-10,Lost & Not Found,Chase & Status feat. Louis M^ttrs,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Lost%20&%20Not%20Found%20Chase%20&%20Status%20feat.%20Louis%20M^ttrs,https://www.youtube.com/results?search_query=Lost%20&%20Not%20Found%20Chase%20&%20Status%20feat.%20Louis%20M^ttrs%20music%20video
69-11,So Good To Me,Chris Malinchak,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/So%20Good%20To%20Me%20Chris%20Malinchak,https://www.youtube.com/results?search_query=So%20Good%20To%20Me%20Chris%20Malinchak%20music%20video
69-12,You & Me,Disclosure feat. Eliza Doolittle,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/You%20&%20Me%20Disclosure%20feat.%20Eliza%20Doolittle,https://www.youtube.com/results?search_query=You%20&%20Me%20Disclosure%20feat.%20Eliza%20Doolittle%20music%20video
69-13,Jack,Breach,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Jack%20Breach,https://www.youtube.com/results?search_query=Jack%20Breach%20music%20video
69-14,Lights On,Wiley feat. Angel & Tinchy Stryder,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Lights%20On%20Wiley%20feat.%20Angel%20&%20Tinchy%20Stryder,https://www.youtube.com/results?search_query=Lights%20On%20Wiley%20feat.%20Angel%20&%20Tinchy%20Stryder%20music%20video
69-15,Goin’ Crazy,Dizzee Rascal feat. Robbie Williams,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Goin’%20Crazy%20Dizzee%20Rascal%20feat.%20Robbie%20Williams,https://www.youtube.com/results?search_query=Goin’%20Crazy%20Dizzee%20Rascal%20feat.%20Robbie%20Williams%20music%20video
69-16,Gentleman,Psy,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Gentleman%20Psy,https://www.youtube.com/results?search_query=Gentleman%20Psy%20music%20video
69-17,Chocolate,The 1975,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Chocolate%20The%201975,https://www.youtube.com/results?search_query=Chocolate%20The%201975%20music%20video
69-18,Carry You,Union J,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Carry%20You%20Union%20J,https://www.youtube.com/results?search_query=Carry%20You%20Union%20J%20music%20video
69-19,Gentleman,The Saturdays,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Gentleman%20The%20Saturdays,https://www.youtube.com/results?search_query=Gentleman%20The%20Saturdays%20music%20video
69-20,On My Way,Charlie Brown,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/On%20My%20Way%20Charlie%20Brown,https://www.youtube.com/results?search_query=On%20My%20Way%20Charlie%20Brown%20music%20video
69-21,Another Love,Tom Odell,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/Another%20Love%20Tom%20Odell,https://www.youtube.com/results?search_query=Another%20Love%20Tom%20Odell%20music%20video
69-22,It’s A Beautiful Day,Michael Bublé,2013,Now That's What I Call Music! 85 - Disc 2,https://open.spotify.com/search/It’s%20A%20Beautiful%20Day%20Michael%20Bublé,https://www.youtube.com/results?search_query=It’s%20A%20Beautiful%20Day%20Michael%20Bublé%20music%20video
70-01,One Way Or Another (Teenage Kicks),One Direction,2013,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/One%20Way%20Or%20Another%20(Teenage%20Kicks)%20One%20Direction,https://www.youtube.com/results?search_query=One%20Way%20Or%20Another%20(Teenage%20Kicks)%20One%20Direction%20music%20video
70-02,Scream & Shout,Will.I.Am feat. Britney Spears,2012,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Scream%20&%20Shout%20Will.I.Am%20feat.%20Britney%20Spears,https://www.youtube.com/results?search_query=Scream%20&%20Shout%20Will.I.Am%20feat.%20Britney%20Spears%20music%20video
70-03,I Knew You Were Trouble,Taylor Swift,2012,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/I%20Knew%20You%20Were%20Trouble%20Taylor%20Swift,https://www.youtube.com/results?search_query=I%20Knew%20You%20Were%20Trouble%20Taylor%20Swift%20music%20video
70-04,Just Give Me A Reason,P!nk feat. Nate Ruess,2013,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Just%20Give%20Me%20A%20Reason%20P!nk%20feat.%20Nate%20Ruess,https://www.youtube.com/results?search_query=Just%20Give%20Me%20A%20Reason%20P!nk%20feat.%20Nate%20Ruess%20music%20video
70-05,Diamonds,Rihanna,2012,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Diamonds%20Rihanna,https://www.youtube.com/results?search_query=Diamonds%20Rihanna%20music%20video
70-06,Pompeii,Bastille,2013,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Pompeii%20Bastille,https://www.youtube.com/results?search_query=Pompeii%20Bastille%20music%20video
70-07,Impossible,James Arthur,2012,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Impossible%20James%20Arthur,https://www.youtube.com/results?search_query=Impossible%20James%20Arthur%20music%20video
70-08,Troublemaker,Olly Murs feat. Flo Rida,2012,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Troublemaker%20Olly%20Murs%20feat.%20Flo%20Rida,https://www.youtube.com/results?search_query=Troublemaker%20Olly%20Murs%20feat.%20Flo%20Rida%20music%20video
70-09,Locked Out Of Heaven,Bruno Mars,2012,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Locked%20Out%20Of%20Heaven%20Bruno%20Mars,https://www.youtube.com/results?search_query=Locked%20Out%20Of%20Heaven%20Bruno%20Mars%20music%20video
70-10,Die Young,Kesha,2012,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Die%20Young%20Kesha,https://www.youtube.com/results?search_query=Die%20Young%20Kesha%20music%20video
70-11,Ready Or Not,Bridgit Mendler,2012,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Ready%20Or%20Not%20Bridgit%20Mendler,https://www.youtube.com/results?search_query=Ready%20Or%20Not%20Bridgit%20Mendler%20music%20video
70-12,DNA,Little Mix,2012,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/DNA%20Little%20Mix,https://www.youtube.com/results?search_query=DNA%20Little%20Mix%20music%20video
70-13,What About Us,The Saturdays feat. Sean Paul,2013,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/What%20About%20Us%20The%20Saturdays%20feat.%20Sean%20Paul,https://www.youtube.com/results?search_query=What%20About%20Us%20The%20Saturdays%20feat.%20Sean%20Paul%20music%20video
70-14,Something New,Girls Aloud,2012,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Something%20New%20Girls%20Aloud,https://www.youtube.com/results?search_query=Something%20New%20Girls%20Aloud%20music%20video
70-15,Boomerang,Nicole Scherzinger,2013,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Boomerang%20Nicole%20Scherzinger,https://www.youtube.com/results?search_query=Boomerang%20Nicole%20Scherzinger%20music%20video
70-16,Latch,Disclosure feat. Sam Smith,2012,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Latch%20Disclosure%20feat.%20Sam%20Smith,https://www.youtube.com/results?search_query=Latch%20Disclosure%20feat.%20Sam%20Smith%20music%20video
70-17,Radioactive,Rita Ora,2013,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Radioactive%20Rita%20Ora,https://www.youtube.com/results?search_query=Radioactive%20Rita%20Ora%20music%20video
70-18,Girl On Fire,Alicia Keys,2012,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Girl%20On%20Fire%20Alicia%20Keys,https://www.youtube.com/results?search_query=Girl%20On%20Fire%20Alicia%20Keys%20music%20video
70-19,A Thousand Years,Christina Perri,2011,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/A%20Thousand%20Years%20Christina%20Perri,https://www.youtube.com/results?search_query=A%20Thousand%20Years%20Christina%20Perri%20music%20video
70-20,Clown,Emeli Sandé,2012,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/Clown%20Emeli%20Sandé,https://www.youtube.com/results?search_query=Clown%20Emeli%20Sandé%20music%20video
70-21,The Power Of Love,Gabrielle Aplin,2012,Now That's What I Call Music! 84 - Disc 1,https://open.spotify.com/search/The%20Power%20Of%20Love%20Gabrielle%20Aplin,https://www.youtube.com/results?search_query=The%20Power%20Of%20Love%20Gabrielle%20Aplin%20music%20video
71-01,Castle On The Hill,Ed Sheeran,2017,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Castle%20On%20The%20Hill%20Ed%20Sheeran,https://www.youtube.com/results?search_query=Castle%20On%20The%20Hill%20Ed%20Sheeran%20music%20video
71-02,Human,Rag’n’Bone Man,2016,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Human%20Rag’n’Bone%20Man,https://www.youtube.com/results?search_query=Human%20Rag’n’Bone%20Man%20music%20video
71-03,Touch,Little Mix,2016,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Touch%20Little%20Mix,https://www.youtube.com/results?search_query=Touch%20Little%20Mix%20music%20video
71-04,Starboy,The Weeknd feat. Daft Punk,2016,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Starboy%20The%20Weeknd%20feat.%20Daft%20Punk,https://www.youtube.com/results?search_query=Starboy%20The%20Weeknd%20feat.%20Daft%20Punk%20music%20video
71-05,Paris,The Chainsmokers,2017,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Paris%20The%20Chainsmokers,https://www.youtube.com/results?search_query=Paris%20The%20Chainsmokers%20music%20video
71-06,Call On Me (Ryan Riback Remix),Starley,2016,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Call%20On%20Me%20(Ryan%20Riback%20Remix)%20Starley,https://www.youtube.com/results?search_query=Call%20On%20Me%20(Ryan%20Riback%20Remix)%20Starley%20music%20video
71-07,Ciao Adios,Anne-Marie,2017,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Ciao%20Adios%20Anne-Marie,https://www.youtube.com/results?search_query=Ciao%20Adios%20Anne-Marie%20music%20video
71-08,24K Magic,Bruno Mars,2016,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/24K%20Magic%20Bruno%20Mars,https://www.youtube.com/results?search_query=24K%20Magic%20Bruno%20Mars%20music%20video
71-09,I Would Like,Zara Larsson,2016,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/I%20Would%20Like%20Zara%20Larsson,https://www.youtube.com/results?search_query=I%20Would%20Like%20Zara%20Larsson%20music%20video
71-10,Chained To The Rhythm,Katy Perry feat. Skip Marley,2017,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Chained%20To%20The%20Rhythm%20Katy%20Perry%20feat.%20Skip%20Marley,https://www.youtube.com/results?search_query=Chained%20To%20The%20Rhythm%20Katy%20Perry%20feat.%20Skip%20Marley%20music%20video
71-11,No Lie,Sean Paul feat. Dua Lipa,2016,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/No%20Lie%20Sean%20Paul%20feat.%20Dua%20Lipa,https://www.youtube.com/results?search_query=No%20Lie%20Sean%20Paul%20feat.%20Dua%20Lipa%20music%20video
71-12,Solo Dance,Martin Jensen,2016,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Solo%20Dance%20Martin%20Jensen,https://www.youtube.com/results?search_query=Solo%20Dance%20Martin%20Jensen%20music%20video
71-13,Stay,Zedd feat. Alessia Cara,2017,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Stay%20Zedd%20feat.%20Alessia%20Cara,https://www.youtube.com/results?search_query=Stay%20Zedd%20feat.%20Alessia%20Cara%20music%20video
71-14,Don’t Kill My Vibe,Sigrid,2017,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Don’t%20Kill%20My%20Vibe%20Sigrid,https://www.youtube.com/results?search_query=Don’t%20Kill%20My%20Vibe%20Sigrid%20music%20video
71-15,Just Hold On,Steve Aoki feat. Louis Tomlinson,2016,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Just%20Hold%20On%20Steve%20Aoki%20feat.%20Louis%20Tomlinson,https://www.youtube.com/results?search_query=Just%20Hold%20On%20Steve%20Aoki%20feat.%20Louis%20Tomlinson%20music%20video
71-16,Be The One,Dua Lipa,2015,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Be%20The%20One%20Dua%20Lipa,https://www.youtube.com/results?search_query=Be%20The%20One%20Dua%20Lipa%20music%20video
71-17,By Your Side,Jonas Blue feat. RAYE,2016,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/By%20Your%20Side%20Jonas%20Blue%20feat.%20RAYE,https://www.youtube.com/results?search_query=By%20Your%20Side%20Jonas%20Blue%20feat.%20RAYE%20music%20video
71-18,Hypnotised,Coldplay,2017,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Hypnotised%20Coldplay,https://www.youtube.com/results?search_query=Hypnotised%20Coldplay%20music%20video
71-19,Love Me Now,John Legend,2016,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Love%20Me%20Now%20John%20Legend,https://www.youtube.com/results?search_query=Love%20Me%20Now%20John%20Legend%20music%20video
71-20,Love My Life,Robbie Williams,2016,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Love%20My%20Life%20Robbie%20Williams,https://www.youtube.com/results?search_query=Love%20My%20Life%20Robbie%20Williams%20music%20video
71-21,Fastlove (Part 1),George Michael,1996,Now That's What I Call Music! 96 - Disc 1,https://open.spotify.com/search/Fastlove%20(Part%201)%20George%20Michael,https://www.youtube.com/results?search_query=Fastlove%20(Part%201)%20George%20Michael%20music%20video
72-01,Closer,Kings of Leon,2008,Kings of Leon – Only By The Night,https://open.spotify.com/search/Closer%20Kings%20of%20Leon,https://www.youtube.com/results?search_query=Closer%20Kings%20of%20Leon%20music%20video
72-02,Crawl,Kings of Leon,2008,Kings of Leon – Only By The Night,https://open.spotify.com/search/Crawl%20Kings%20of%20Leon,https://www.youtube.com/results?search_query=Crawl%20Kings%20of%20Leon%20music%20video
72-03,Sex On Fire,Kings of Leon,2008,Kings of Leon – Only By The Night,https://open.spotify.com/search/Sex%20On%20Fire%20Kings%20of%20Leon,https://www.youtube.com/results?search_query=Sex%20On%20Fire%20Kings%20of%20Leon%20music%20video
72-04,Use Somebody,Kings of Leon,2008,Kings of Leon – Only By The Night,https://open.spotify.com/search/Use%20Somebody%20Kings%20of%20Leon,https://www.youtube.com/results?search_query=Use%20Somebody%20Kings%20of%20Leon%20music%20video
72-05,Manhattan,Kings of Leon,2008,Kings of Leon – Only By The Night,https://open.spotify.com/search/Manhattan%20Kings%20of%20Leon,https://www.youtube.com/results?search_query=Manhattan%20Kings%20of%20Leon%20music%20video
72-06,Revelry,Kings of Leon,2008,Kings of Leon – Only By The Night,https://open.spotify.com/search/Revelry%20Kings%20of%20Leon,https://www.youtube.com/results?search_query=Revelry%20Kings%20of%20Leon%20music%20video
72-07,17,Kings of Leon,2008,Kings of Leon – Only By The Night,https://open.spotify.com/search/17%20Kings%20of%20Leon,https://www.youtube.com/results?search_query=17%20Kings%20of%20Leon%20music%20video
72-08,Notion,Kings of Leon,2008,Kings of Leon – Only By The Night,https://open.spotify.com/search/Notion%20Kings%20of%20Leon,https://www.youtube.com/results?search_query=Notion%20Kings%20of%20Leon%20music%20video
72-09,I Want You,Kings of Leon,2008,Kings of Leon – Only By The Night,https://open.spotify.com/search/I%20Want%20You%20Kings%20of%20Leon,https://www.youtube.com/results?search_query=I%20Want%20You%20Kings%20of%20Leon%20music%20video
72-10,Be Somebody,Kings of Leon,2008,Kings of Leon – Only By The Night,https://open.spotify.com/search/Be%20Somebody%20Kings%20of%20Leon,https://www.youtube.com/results?search_query=Be%20Somebody%20Kings%20of%20Leon%20music%20video
72-11,Cold Desert,Kings of Leon,2008,Kings of Leon – Only By The Night,https://open.spotify.com/search/Cold%20Desert%20Kings%20of%20Leon,https://www.youtube.com/results?search_query=Cold%20Desert%20Kings%20of%20Leon%20music%20video
73-01,Solitary Man,Neil Diamond,1966,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/Solitary%20Man%20Neil%20Diamond,https://www.youtube.com/results?search_query=Solitary%20Man%20Neil%20Diamond%20music%20video
73-02,"Cherry, Cherry",Neil Diamond,1966,Neil Diamond – The Greatest Hits 1966–1992,"https://open.spotify.com/search/Cherry,%20Cherry%20Neil%20Diamond","https://www.youtube.com/results?search_query=Cherry,%20Cherry%20Neil%20Diamond%20music%20video"
73-03,"I Got The Feelin' (Oh No, No)",Neil Diamond,1966,Neil Diamond – The Greatest Hits 1966–1992,"https://open.spotify.com/search/I%20Got%20The%20Feelin'%20(Oh%20No,%20No)%20Neil%20Diamond","https://www.youtube.com/results?search_query=I%20Got%20The%20Feelin'%20(Oh%20No,%20No)%20Neil%20Diamond%20music%20video"
73-04,Thank The Lord For The Night Time,Neil Diamond,1967,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/Thank%20The%20Lord%20For%20The%20Night%20Time%20Neil%20Diamond,https://www.youtube.com/results?search_query=Thank%20The%20Lord%20For%20The%20Night%20Time%20Neil%20Diamond%20music%20video
73-05,"Girl, You'll Be A Woman Soon",Neil Diamond,1967,Neil Diamond – The Greatest Hits 1966–1992,"https://open.spotify.com/search/Girl,%20You'll%20Be%20A%20Woman%20Soon%20Neil%20Diamond","https://www.youtube.com/results?search_query=Girl,%20You'll%20Be%20A%20Woman%20Soon%20Neil%20Diamond%20music%20video"
73-06,Kentucky Woman,Neil Diamond,1967,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/Kentucky%20Woman%20Neil%20Diamond,https://www.youtube.com/results?search_query=Kentucky%20Woman%20Neil%20Diamond%20music%20video
73-07,Shilo,Neil Diamond,1968,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/Shilo%20Neil%20Diamond,https://www.youtube.com/results?search_query=Shilo%20Neil%20Diamond%20music%20video
73-08,You Got To Me,Neil Diamond,1967,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/You%20Got%20To%20Me%20Neil%20Diamond,https://www.youtube.com/results?search_query=You%20Got%20To%20Me%20Neil%20Diamond%20music%20video
73-09,Brooklyn Roads,Neil Diamond,1968,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/Brooklyn%20Roads%20Neil%20Diamond,https://www.youtube.com/results?search_query=Brooklyn%20Roads%20Neil%20Diamond%20music%20video
73-10,"Red, Red Wine",Neil Diamond,1968,Neil Diamond – The Greatest Hits 1966–1992,"https://open.spotify.com/search/Red,%20Red%20Wine%20Neil%20Diamond","https://www.youtube.com/results?search_query=Red,%20Red%20Wine%20Neil%20Diamond%20music%20video"
73-11,I'm A Believer,Neil Diamond,1966,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/I'm%20A%20Believer%20Neil%20Diamond,https://www.youtube.com/results?search_query=I'm%20A%20Believer%20Neil%20Diamond%20music%20video
73-12,Sweet Caroline,Neil Diamond,1969,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/Sweet%20Caroline%20Neil%20Diamond,https://www.youtube.com/results?search_query=Sweet%20Caroline%20Neil%20Diamond%20music%20video
73-13,Soolaimon,Neil Diamond,1970,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/Soolaimon%20Neil%20Diamond,https://www.youtube.com/results?search_query=Soolaimon%20Neil%20Diamond%20music%20video
73-14,Cracklin' Rosie,Neil Diamond,1970,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/Cracklin'%20Rosie%20Neil%20Diamond,https://www.youtube.com/results?search_query=Cracklin'%20Rosie%20Neil%20Diamond%20music%20video
73-15,Song Sung Blue,Neil Diamond,1972,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/Song%20Sung%20Blue%20Neil%20Diamond,https://www.youtube.com/results?search_query=Song%20Sung%20Blue%20Neil%20Diamond%20music%20video
73-16,Play Me,Neil Diamond,1972,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/Play%20Me%20Neil%20Diamond,https://www.youtube.com/results?search_query=Play%20Me%20Neil%20Diamond%20music%20video
73-17,Holly Holy,Neil Diamond,1969,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/Holly%20Holy%20Neil%20Diamond,https://www.youtube.com/results?search_query=Holly%20Holy%20Neil%20Diamond%20music%20video
73-18,Morningside,Neil Diamond,1972,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/Morningside%20Neil%20Diamond,https://www.youtube.com/results?search_query=Morningside%20Neil%20Diamond%20music%20video
73-19,Crunchy Granola Suite,Neil Diamond,1971,Neil Diamond – The Greatest Hits 1966–1992,https://open.spotify.com/search/Crunchy%20Granola%20Suite%20Neil%20Diamond,https://www.youtube.com/results?search_query=Crunchy%20Granola%20Suite%20Neil%20Diamond%20music%20video
74-01,A Design For Life,Manic Street Preachers,1996,Manic Street Preachers – Forever Delayed (The Greatest Hits),https://open.spotify.com/search/A%20Design%20For%20Life%20Manic%20Street%20Preachers,https://www.youtube.com/results?search_query=A%20Design%20For%20Life%20Manic%20Street%20Preachers%20music%20video
74-02,Motorcycle Emptiness,Manic Street Preachers,1992,Manic Street Preachers – Forever Delayed (The Greatest Hits),https://open.spotify.com/search/Motorcycle%20Emptiness%20Manic%20Street%20Preachers,https://www.youtube.com/results?search_query=Motorcycle%20Emptiness%20Manic%20Street%20Preachers%20music%20video
74-03,If You Tolerate This Your Children Will Be Next,Manic Street Preachers,1998,Manic Street Preachers – Forever Delayed (The Greatest Hits),https://open.spotify.com/search/If%20You%20Tolerate%20This%20Your%20Children%20Will%20Be%20Next%20Manic%20Street%20Preachers,https://www.youtube.com/results?search_query=If%20You%20Tolerate%20This%20Your%20Children%20Will%20Be%20Next%20Manic%20Street%20Preachers%20music%20video
74-04,La Tristesse Durera (Scream To A Sigh),Manic Street Preachers,1993,Manic Street Preachers – Forever Delayed (The Greatest Hits),https://open.spotify.com/search/La%20Tristesse%20Durera%20(Scream%20To%20A%20Sigh)%20Manic%20Street%20Preachers,https://www.youtube.com/results?search_query=La%20Tristesse%20Durera%20(Scream%20To%20A%20Sigh)%20Manic%20Street%20Preachers%20music%20video
74-05,There By The Grace Of God,Manic Street Preachers,2002,Manic Street Preachers – Forever Delayed (The Greatest Hits),https://open.spotify.com/search/There%20By%20The%20Grace%20Of%20God%20Manic%20Street%20Preachers,https://www.youtube.com/results?search_query=There%20By%20The%20Grace%20Of%20God%20Manic%20Street%20Preachers%20music%20video
74-06,You Love Us,Manic Street Preachers,1991,Manic Street Preachers – Forever Delayed (The Greatest Hits),https://open.spotify.com/search/You%20Love%20Us%20Manic%20Street%20Preachers,https://www.youtube.com/results?search_query=You%20Love%20Us%20Manic%20Street%20Preachers%20music%20video
74-07,Australia,Manic Street Preachers,1996,Manic Street Preachers – Forever Delayed (The Greatest Hits),https://open.spotify.com/search/Australia%20Manic%20Street%20Preachers,https://www.youtube.com/results?search_query=Australia%20Manic%20Street%20Preachers%20music%20video
